Final Theme,Definition,Intermediate Theme,Initial Theme,Example
Chose actions with greater instrumental utility ,"Made decisions with the intention of reducing the time or energy needed to complete the task, and/or increasing the amount of points that could be earned.",Reduced instrumental costs,Maximized speed,“I decided to do all the optional tasks alone because I knew it would be faster...” (Participant 212)
,,,,
,,,,
,,,Minimized movement,"“I attempted to complete the task in the most effective and quickest way, moving the handle with the shortest distance possible.” (Participant 111)"
,,Reduced cognitive costs,Minimized decisions required,“I chose to do the task alone when there were many boxes that were far away from each other as I knew it would be difficult to choose the same boxes as the helper.” (Participant 101)
,,,Minimized difficult coordination,"“[I chose alone] because it was more reliable and gave more points, it eliminated the variable of having to depend on another person’s timing and thinking.” (Participant 107)"
,,Minimized task constraints,Completed the task in the “easiest” way,“It was easier to complete the task alone” (Participant 404)
,,,Considered the spatial arrangement of the boxes,"“[I chose together] when there was not as high of a concentration of squares, but also when they were in close proximity with each other.”"
,,Maximized instrumental rewards,NA,“I chose to complete the task alone when I realized that the number of points I got from working together was not as much as working alone.” (Participant 412)
Chose actions with greater social value,Made decisions that were motivated by enhancing their own and/or their partner's experience.,Maximized intrinsic rewards,NA,“I found it more fun and interesting when I had to complete the task together because you can see how similarly or differently you and your partner think and what each person's first instinct is.” (Participant 312)
,,Prosocial behaviour,Empathy,“[I chose together] because I felt bad for my partner if he was left with nothing to do” (Participant 102)
,,,Fairness,"“I chose to do the task together when I had done a few trials alone. I thought that my partner would be upset if I did a bunch of the trials on my own just to achieve more points, so I would sometimes choose to do them with her to make it more fair. “ (Participant 410)"
Flexibility in decision strategy,Open to changing their decisions throughout the course of the experiment.,NA,NA,“There were some instances where I felt me and the helper changed the way we were slicing the squares to try to imitate each other...” (Participant 211)
Planned movement path,Discussed their own individual directional patterns they typically moved in and/or the order they planned to clear boxes in.,NA,NA,"“I noticed I tended to hit the boxes in a circular motion starting from the one closest to me, moving outwards, then returning to the starting area.” (Participant 309)"
Made reliable decisions,Made decisions knowing they could perform the task consistently well in that task mode.,NA,NA,"“[I chose alone] because it was more reliable and gave more points, it eliminated the variable of having to depend on another person’s timing and thinking.” (Participant 107)"
